Identifier,Type,DOI,Title,Abstract,Number of references,Study Type,Study Population Size,Control Group Size,Sampling Method
Sex-Specific COVID-19 Clinical Outcomes,bad,10.1371/journal.pone.0244516,Face pareidolia in the brain: Impact of gender and orientation.,"Research on face sensitivity is of particular relevance during the rapidly evolving Covid-19 pandemic leading to social isolation, but also calling for intact interaction and sharing. Humans possess high sensitivity even to a coarse face scheme, seeing faces in non-face images where real faces do not exist. The advantage of non-face images is that single components do not trigger face processing. Here by implementing a novel set of Face-n-Thing images, we examined (i) how face tuning alters with changing display orientation, and (ii) whether it is affected by observers' gender. Young females and males were presented with a set of Face-n-Thing images either with canonical upright orientation or inverted 180° in the image plane. Face impression was substantially impeded by display inversion. Furthermore, whereas with upright display orientation, no gender differences were found, with inversion, Face-n-Thing images elicited face impression in females significantly more often. The outcome sheds light on the origins of the face inversion effect in general. Moreover, the findings open a way for examination of face sensitivity and underwriting brain networks in neuropsychiatric conditions related to the current pandemic (such as depression and anxiety), most of which are gender/sex-specific.",42, observational,100,50, random sampling
Association Between Renin-Angiotensin-Aldosterone System Inhibitors and Clinical Outcomes in Patients With COVID-19,bad,10.1016/j.atherosclerosis.2020.10.014,Endothelial dysfunction in COVID-19: Current findings and therapeutic implications.,"Coronavirus disease 2019 (COVID-19) increases the risk of several non-pulmonary complications such as acute myocardial injury, renal failure or thromboembolic events. A possible unifying explanation for these phenomena may be the presence of profound endothelial dysfunction and injury. This review provides an overview on the association of endothelial dysfunction with COVID-19 and its therapeutic implications. Endothelial dysfunction is a common feature of the key comorbidities that increase risk for severe COVID-19 such as hypertension, obesity, diabetes mellitus, coronary artery disease or heart failure. Preliminary studies indicate that vascular endothelial cells can be infected by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), and evidence of widespread endothelial injury and inflammation is found in advanced cases of COVID-19. Prior evidence has established the crucial role of endothelial cells in maintaining and regulating vascular homeostasis and blood coagulation. Aggravation of endothelial dysfunction in COVID-19 may therefore impair organ perfusion and cause a procoagulatory state resulting in both macro- and microvascular thrombotic events. Angiotensin-converting enzyme (ACE) inhibitors, angiotensin receptor blockers (ARBs) and statins are known to improve endothelial dysfunction. Data from smaller observational studies and other viral infections suggests a possible beneficial effect in COVID-19. Other treatments that are currently under investigation for COVID-19 may also act by improving endothelial dysfunction in patients. Focusing therapies on preventing and improving endothelial dysfunction could improve outcomes in COVID-19. Several clinical trials are currently underway to explore this concept.",57, Review article, N/A, N/A, N/A
Association Between Renin-Angiotensin-Aldosterone System Inhibitors and Clinical Outcomes in Patients With COVID-19,bad,10.3390/ijms21186471,Cardiovascular Damage in COVID-19: Therapeutic Approaches Targeting the Renin-Angiotensin-Aldosterone System.,"Coronavirus disease 2019 (COVID-19) is usually more severe and associated with worst outcomes in individuals with pre-existing cardiovascular pathologies, including hypertension or atherothrombosis. Severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) can differentially infect multiple tissues (i.e., lung, vessel, heart, liver) in different stages of disease, and in an age- and sex-dependent manner. In particular, cardiovascular (CV) cells (e.g., endothelial cells, cardiomyocytes) could be directly infected and indirectly disturbed by systemic alterations, leading to hyperinflammatory, apoptotic, thrombotic, and vasoconstrictive responses. Until now, hundreds of clinical trials are testing antivirals and immunomodulators to decrease SARS-CoV-2 infection or related systemic anomalies. However, new therapies targeting the CV system might reduce the severity and lethality of disease. In this line, activation of the non-canonical pathway of the renin-angiotensin-aldosterone system (RAAS) could improve CV homeostasis under COVID-19. In particular, treatments with angiotensin-converting enzyme inhibitors (ACEi) and angiotensin-receptor blockers (ARB) may help to reduce hyperinflammation and viral propagation, while infusion of soluble ACE2 may trap plasma viral particles and increase cardioprotective Ang-(1-9) and Ang-(1-7) peptides. The association of specific ACE2 polymorphisms with increased susceptibility of infection and related CV pathologies suggests potential genetic therapies. Moreover, specific agonists of Ang-(1-7) receptor could counter-regulate the hypertensive, hyperinflammatory, and hypercoagulable responses. Interestingly, sex hormones could also regulate all these RAAS components. Therefore, while waiting for an efficient vaccine, we suggest further investigations on the non-canonical RAAS pathway to reduce cardiovascular damage and mortality in COVID-19 patients.",131, Review, N/A, N/A, N/A
Association Between Renin-Angiotensin-Aldosterone System Inhibitors and Clinical Outcomes in Patients With COVID-19,bad,10.1038/s41397-021-00209-9,Pharmacogenomics and COVID-19: clinical implications of human genome interactions with repurposed drugs.,"The outbreak of Coronavirus disease 2019 (COVID-19) has evolved into an emergent global pandemic. Many drugs without established efficacy are being used to treat COVID-19 patients either as an offlabel/compassionate use or as a clinical trial. Although drug repurposing is an attractive approach with reduced time and cost, there is a need to make predictions on success before the start of therapy. For the optimum use of these repurposed drugs, many factors should be considered such as drug-gene or dug-drug interactions, drug toxicity, and patient co-morbidity. There is limited data on the pharmacogenomics of these agents and this may constitute an obstacle for successful COVID-19 therapy. This article reviewed the available human genome interactions with some promising repurposed drugs for COVID-19 management. These drugs include chloroquine (CQ), hydroxychloroquine (HCQ), azithromycin, lopinavir/ritonavir (LPV/r), atazanavir (ATV), favipiravir (FVP), nevirapine (NVP), efavirenz (EFV), oseltamivir, remdesivir, anakinra, tocilizumab (TCZ), eculizumab, heme oxygenase 1 (HO-1) regulators, renin-angiotensin-aldosterone system (RAAS) inhibitors, ivermectin, and nitazoxanide. Drug-gene variant pairs that may alter the therapeutic outcomes in COVID-19 patients are presented. The major drug variant pairs that associated with variations in clinical efficacy include CQ/HCQ (CYP2C8, CYP2D6, ACE2, and HO-1); azithromycin (ABCB1); LPV/r (SLCO1B1, ABCB1, ABCC2 and CYP3A); NVP (ABCC10); oseltamivir (CES1 and ABCB1); remdesivir (CYP2C8, CYP2D6, CYP3A4, and OATP1B1); anakinra (IL-1a); and TCZ (IL6R and FCGR3A). The major drug variant pairs that associated with variations in adverse effects include CQ/HCQ (G6PD; hemolysis and ABCA4; retinopathy), ATV (MDR1 and UGT1A1*28; hyperbilirubinemia; and APOA5; dyslipidemia), NVP (HLA-DRB1*01, HLA-B*3505 and CYP2B6; skin rash and MDR1; hepatotoxicity), and EFV (CYP2B6; depression and suicidal tendencies).",128, Review, N/A, N/A, N/A
Association Between Renin-Angiotensin-Aldosterone System Inhibitors and Clinical Outcomes in Patients With COVID-19,bad,10.7759/cureus.13429,Renin-Angiotensin-Aldosterone System Blockers Prior to Hospitalization and Their Association With Clinical Outcomes in Coronavirus Disease 2019 (COVID-19).,"OBJECTIVE: To determine the effect of angiotensin-converting enzyme inhibitors (ACEIs) and angiotensin receptor blockers (ARBs) use prior to hospitalization on clinical outcomes in coronavirus disease 2019 (COVID-19) patients. DESIGN: An observational retrospective cohort study from 178 hospitals from a large health system across the United States.  Patient population: Hospitalized patients (n=2726) with confirmed COVID-19 between January 1, 2020, and April 1, 2020. Main outcome(s) and measure(s): Outcomes during hospitalization, including disease severity by level of care, intensive care unit (ICU) admission, mechanical ventilator (MV) use, hospital length of stay, and in-hospital death. Patient demographics and comorbidities were also recorded. RESULTS: A total of 2,726 patients were included in the analysis. Three hundred ninety-eight (14.6%) patients were taking an ACEI, while 352 (12.9%) patients were taking an ARB prior to hospitalization. After adjusting for comorbidities, age, renal function, and severity of illness based on level of care, ACEI prior to admission was independently associated with decreased need for MV (odds ratio [OR] 0.56, p value 0.003) and mortality (OR 0.45, p value <0.001). Similarly, patients who took ARBs were less likely to require MV when compared to the non-renin-angiotensin-aldosterone system blockade (RAASb) group (7.4% vs 12.2%, p value 0.009, respectively). ARB prior to admission was also independently associated with decreased need for MV (OR 0.46, p value 0.001) and mortality (OR 0.66, p value 0.017) compared to the non-RAASb group. CONCLUSION: Taking ACEIs and ARBs prior to admission for COVID-19 was independently associated with decreased need for mechanical ventilation and in-hospital mortality.",17, observational cohort study,2726,1976, convenience sampling
Association Between Renin-Angiotensin-Aldosterone System Inhibitors and Clinical Outcomes in Patients With COVID-19,bad,10.3390/jcm9113472,Outcomes of COVID-19 Hospitalized Patients Previously Treated with Renin-Angiotensin System Inhibitors.,"(1) Background: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) penetrates respiratory epithelium through angiotensin-converting enzyme-2 binding, raising concerns about the potentially harmful effects of renin-angiotensin system inhibitors (RASi) on Human Coronavirus Disease 2019 (COVID-19) evolution. This study aimed to provide insight into the impact of RASi on SARS-CoV-2 outcomes in patients hospitalized for COVID-19. (2) Methods: This was a retrospective analysis of hospitalized adult patients with SARS-CoV-2 infection admitted to a university hospital in France. The observation period ended at hospital discharge. (3) Results: During the study period, 943 COVID-19 patients were admitted to our institution, of whom 772 were included in this analysis. Among them, 431 (55.8%) had previously known hypertension. The median age was 68 (56-79) years. Overall, 220 (28.5%) patients were placed under mechanical ventilation and 173 (22.4%) died. According to previous exposure to RASi, we defined two groups, namely, ""RASi"" (",46, retrospective cohort study,772,490, convenience sampling
Association Between Renin-Angiotensin-Aldosterone System Inhibitors and Clinical Outcomes in Patients With COVID-19,bad,10.14744/SEMB.2020.15689,The Association between Chronic Use of Renin-Angiotensin-Aldosterone System Blockers and in-Hospital Adverse Events among COVID-19 Patients with Hypertension.,"OBJECTIVES: The effects of chronic renin-angiotensin-aldosterone system (RAAS) blockers usage on adverse outcomes and disease severity remain uncertain in COVID-19 patients with hypertension. In this study, we aimed to determine the relationship between chronic use of RAAS inhibitors and in-hospital adverse events among hypertensive patients hospitalized with COVID-19. METHODS: In this retrospective single-center study, we enrolled 349 consecutive hypertensive patients diagnosed with COVID-19 infection. All patients were chronically on angiotensin-converting enzyme inhibitors (ACEI)/ angiotensin II receptor blockers (ARB) or other antihypertensive therapies before hospital admission. Adverse clinical events were defined as in-hospital mortality, admission to intensive care unit, need for high-flow oxygen and intubation. RESULTS: Patients were categorized into two groups according to the type of antihypertensive therapy. (ACEI/ARBs users, N=201; ACEI/ARB nonusers, N=148) There was no statistically significant difference between ACEI/ARBs users and ACEI/ARBs nonusers concerning adverse clinical events, such as in-hospital mortality (29 (14.4%) vs. 20 (13.5%), p=0.81), ICU admission (45(22.4%) vs. 27 (18.2%), p=0.34), need for high-flow oxygen (97 (48.3%) vs. 68 (45.9%), p=0.67) and need for intubation (32(15.9%) vs. 23(15.5%), p=0.92), respectively. Also, the severity of infection did not differ among groups. The logistic regression multivariate analysis showed that age, neutrophil-lymphocyte ratio, procalcitonin and ferritin levels were independent predictors of in-hospital mortality. CONCLUSION: Our results suggest that chronic use of ACEI/ARBs did not increase in-hospital adverse outcomes of hypertensive patients hospitalized with COVID-19. Although the recent data are contradictory, chronic ACEI/ARB therapy is not recommended to be discontinued in hypertensive patients during their hospitalization for COVID-19.",21, observational,349,148, convenience sampling
Association Between Renin-Angiotensin-Aldosterone System Inhibitors and Clinical Outcomes in Patients With COVID-19,bad,10.3389/fmed.2020.00515,Coronavirus Disease-2019 Conundrum: RAS Blockade and Geriatric-Associated Neuropsychiatric Disorders.,"Coronavirus Disease 2019 (COVID-19) is caused by the novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), which primarily targets the human respiratory system and may lead to severe pneumonia and ultimately death. Mortality rate is particurlarly high among people beyond the sixth decade of life with cardiovascular and metabolic diseases. The discovery that the SARS-CoV-2 uses the renin-angiotensin system (RAS) component ACE2 as a receptor to invade host epithelial cells and cause organs damage resulted in a debate regarding the role of ACE inhibitors (ACEIs) and angiotensin receptor blockers (ARBs) therapies during COVID-19 pandemic. Some authors proposed the discontinuation of ACEIs and ARBs for cardiovascular, kidney, and metabolic diseases, while expert opinions have discouraged that due to limited empirical evidence of their negative effect on COVID-19 outcomes, and that withdrawing treatment may contribute to clinical decompensation in high-risk patients. Moreover, as cardiovascular and metabolic diseases are associated with neurodegenerative and psychiatric disorders, especially among older adults, a critical appraisal of the potential positive effects of ACEIs and ARBs is highly needed. Herein, we aim to discuss the conundrum of ACEIs and ARBs use in high-risk patients for COVID-19, and their potential protective role on the development and/or progression of geriatric neuropsychiatric disorders.",120, N/A, N/A, N/A, N/A
Association Between Renin-Angiotensin-Aldosterone System Inhibitors and Clinical Outcomes in Patients With COVID-19,bad,10.1016/j.medcli.2020.06.013,Risk of severe COVID-19 in hypertensive patients treated with renin-angiotensin-aldosterone system inhibitors.,"INTRODUCTION: There is controversy concerning the use of angiotensin-converting enzyme inhibitors (ACEI) or angiotensin II type-I receptor blockers (ARB) for treating hypertensive patients with Covid-19. It has been hypothesized that these drugs might increase the risk of severe Covid-19, but some authors suggested that blocking the renin-angiotensin system might actually decrease this risk. METHODS: Retrospective cohort study of all the consecutive hypertensive patients with confirmed SARS-CoV-2 infection in a health area. The outcome variable was hospitalization because of severe Covid-19. RESULTS: 539 subjects were diagnosed of SARS-CoV-2 infection. Of these, 157 (29.1%) had hypertension and were included in the study. Sixty-nine cases (43.9%) were hospitalized because of severe Covid-19. In multivariable analysis older age, diabetes and hypertensive myocadiopathy were related to a higher risk of hospital admission. ARB treatment was associated with a significantly lower risk of hospitalization (HR: 0.29, 95% CI: 0.10 - 0.88). A similar albeit not significant trend was observed for ACEI. CONCLUSION: ARB or ACEI treatment was not associated with a worse clinical outcome in consecutive hypertensive patients infected by SARS-CoV-2. INTRODUCCIÓN: Existe controversia respecto al uso de los inhibidores de la enzima convertidora de angiotensina (IECA) o los bloqueadores de los receptores tipo I de la angiotensina II (ARA-II) para el tratamiento de la hipertensión arterial en COVID-19. Se ha sugerido que estos fármacos podrían tanto aumentar como reducir el riesgo de COVID-19 grave. PACIENTES Y MÉTODO: Estudio de cohortes retrospectivo de pacientes consecutivos de un área sanitaria, con hipertensión e infección por SARS-CoV-2. Variable de resultados: ingreso hospitalario por COVID-19 grave. RESULTADOS: Fueron diagnosticados 539 sujetos por infección por SARS-CoV-2. De estos, 157 (29,1%) eran hipertensos y se incluyeron en el estudio. Se ingresaron 69 (43,9%) pacientes por COVID-19 grave. En el análisis multivariante, la edad más elevada, la diabetes y la miocardiopatía hipertensiva se relacionaron con el riesgo de ingreso hospitalario. El tratamiento con ARA-II se asoció con un riesgo significativamente más bajo de ingreso (HR: 0,29, IC 95%: 0,10-0,88). Una tendencia similar, aunque no significativa, se encontró para los IECA. CONCLUSIÓN: el tratamiento con ARA-II o IECA no se asoció con una peor evolución clínica en pacientes hipertensos consecutivos infectados por SARS-CoV-2.",10, cohort,157, N/A, convenience sampling
Association Between Renin-Angiotensin-Aldosterone System Inhibitors and Clinical Outcomes in Patients With COVID-19,bad,10.1007/s11906-020-01101-w,Renin-Angiotensin System Inhibitors and COVID-19: a Systematic Review and Meta-Analysis. Evidence for Significant Geographical Disparities.,"PURPOSE OF REVIEW: While the COVID-19 pandemic is constantly evolving, it remains unclear whether the use of angiotensin-converting enzyme (ACE) inhibitors or angiotensin receptor blockers (ARBs) affects the clinical course of SARS-CoV-2 infection. For this meta-analysis, PubMed, CENTRAL, and grey literature were searched from their inception to 19 May 2020 for randomized, controlled trials or observational studies that evaluate the association between the use of either ACE inhibitors or ARBs and the risk for major clinical endpoints (infection, hospitalization, admission to ICU, death) in adult patients during the COVID-19 pandemic. In addition, a subgroup geographical analysis of outcomes was performed. Studies including less than 100 subjects were excluded from our analysis. RECENT FINDINGS: In total, 25 observational studies were included. ACE inhibitors and ARBs were not associated with increased odds for SARS-CoV-2 infection, admission to hospital, severe or critical illness, admission to ICU, and SARS-CoV-2-related death. In Asian countries, the use of ACE inhibitors/ARBs decreased the odds for severe or critical illness and death (OR = 0.37, 95% CI 0.16-0.89, I",51, observational,25, N/A, N/A
