Identifier,Type,DOI,Title,Abstract,Number of references,Study Type,Study Population Size,Control Group Size,Sampling Method
Laboratory Findings Comorbidities and Clinical Outcomes Comparing Medical Staff versus the General Population,good,10.1136/bmj.m606,"Clinical findings in a group of patients infected with the 2019 novel coronavirus (SARS-Cov-2) outside of Wuhan, China: retrospective case series.","OBJECTIVE: To study the clinical characteristics of patients in Zhejiang province, China, infected with the 2019 severe acute respiratory syndrome coronavirus 2 (SARS-Cov-2) responsible for coronavirus disease 2019 (covid-2019). DESIGN: Retrospective case series. SETTING: Seven hospitals in Zhejiang province, China. PARTICIPANTS: 62 patients admitted to hospital with laboratory confirmed SARS-Cov-2 infection. Data were collected from 10 January 2020 to 26 January 2020. MAIN OUTCOME MEASURES: Clinical data, collected using a standardised case report form, such as temperature, history of exposure, incubation period. If information was not clear, the working group in Hangzhou contacted the doctor responsible for treating the patient for clarification. RESULTS: Of the 62 patients studied (median age 41 years), only one was admitted to an intensive care unit, and no patients died during the study. According to research, none of the infected patients in Zhejiang province were ever exposed to the Huanan seafood market, the original source of the virus; all studied cases were infected by human to human transmission. The most common symptoms at onset of illness were fever in 48 (77%) patients, cough in 50 (81%), expectoration in 35 (56%), headache in 21 (34%), myalgia or fatigue in 32 (52%), diarrhoea in 3 (8%), and haemoptysis in 2 (3%). Only two patients (3%) developed shortness of breath on admission. The median time from exposure to onset of illness was 4 days (interquartile range 3-5 days), and from onset of symptoms to first hospital admission was 2 (1-4) days. CONCLUSION: As of early February 2020, compared with patients initially infected with SARS-Cov-2 in Wuhan, the symptoms of patients in Zhejiang province are relatively mild.",16, retrospective case series, 62, N/A, convenience sampling
Laboratory Findings Comorbidities and Clinical Outcomes Comparing Medical Staff versus the General Population,good,10.1002/jmv.25763,"Initial clinical features of suspected coronavirus disease 2019 in two emergency departments outside of Hubei, China.","With an increasing number of Coronavirus Disease 2019 (COVID-19) cases outside of Hubei, emergency departments (EDs) and fever clinics are facing challenges posed by the large number of admissions of patients suspected to have COVID-19. Therefore, it is of crucial importance to study the initial clinical features of patients, to better differentiate between infected and uninfected patients outside Hubei. A total of 116 patients suspected of having COVID-19 who presented to two emergency departments in Anhui for the first time between 24 January 2020 and 20 February 2020 were enrolled in the study. The initial clinical data of these patients, such as epidemiological features, symptoms, laboratory results, and chest computed tomography (CT) findings were collected using a standard case report form on admission. Thirty-two patients were diagnosed with COVID-19; the remaining 84 patients were referred to as negative cases. The median age of the diagnosed patients was 46 years, but only 35 years for negative cases. History of exposure to Wuhan or COVID-19 patients in the previous 2 weeks was observed in 63% of the diagnosed and 44% of negative cases. Median time from illness onset to ED admission was 5 days for all patients, diagnosed patients, and negative cases, respectively. Fever was observed in 27 (84%) and 57 (68%) diagnosed and negative cases, respectively. Nineteen (59%) diagnosed and 24 (29%) negative cases had lymphopenia on admission in ED. A chest CT scan on admission revealed the presence of pneumonia in the majority of the diagnosed patients (30 out of 32, 94%) and in 56 (67%) negative cases. Bilateral involvement and ground-glass opacity (GGO) were present in 91% and 47% of the diagnosed patients. Thirty-two patients were diagnosed with COVID-19; the remaining 84 patients were referred to as negative cases. The median age of the diagnosed patients was 46 years, but only 35 years for negative cases. History of exposure to Wuhan or COVID-19 patients in the previous 2 weeks was observed in 63% of the diagnosed and 44% of negative cases. Median time from illness onset to ED admission was 5 days for all patients, diagnosed patients, and negative cases, respectively. Fever was observed in 27 (84%) and 57 (68%) diagnosed and negative cases, respectively. Nineteen (59%) diagnosed and 24 (29%) negative cases had lymphopenia on admission in ED. A chest CT scan on admission revealed the presence of pneumonia in the majority of the diagnosed patients (30 out of 32, 94%) and in 56 (67%) negative cases. Bilateral involvement and GGO were present in 91% and 47% of the diagnosed patients.",21, observational, 116, 0, convenience sampling
Laboratory Findings Comorbidities and Clinical Outcomes Comparing Medical Staff versus the General Population,good,10.1007/s11427-020-1661-4,"Clinical characteristics of 24 asymptomatic infections with COVID-19 screened among close contacts in Nanjing, China.","Previous studies have showed clinical characteristics of patients with the 2019 novel coronavirus disease (COVID-19) and the evidence of person-to-person transmission. Limited data are available for asymptomatic infections. This study aims to present the clinical characteristics of 24 cases with asymptomatic infection screened from close contacts and to show the transmission potential of asymptomatic COVID-19 virus carriers. Epidemiological investigations were conducted among all close contacts of COVID-19 patients (or suspected patients) in Nanjing, Jiangsu Province, China, from Jan 28 to Feb 9, 2020, both in clinic and in community. Asymptomatic carriers were laboratory-confirmed positive for the COVID-19 virus by testing the nucleic acid of the pharyngeal swab samples. Their clinical records, laboratory assessments, and chest CT scans were reviewed. As a result, none of the 24 asymptomatic cases presented any obvious symptoms while nucleic acid screening. Five cases (20.8%) developed symptoms (fever, cough, fatigue, etc.) during hospitalization. Twelve (50.0%) cases showed typical CT images of ground-glass chest and 5 (20.8%) presented stripe shadowing in the lungs. The remaining 7 (29.2%) cases showed normal CT image and had no symptoms during hospitalization. These 7 cases were younger (median age: 14.0 years; P=0.012) than the rest. None of the 24 cases developed severe COVID-19 pneumonia or died. The median communicable period, defined as the interval from the first day of positive nucleic acid tests to the first day of continuous negative tests, was 9.5 days (up to 21 days among the 24 asymptomatic cases). Through epidemiological investigation, we observed a typical asymptomatic transmission to the cohabiting family members, which even caused severe COVID-19 pneumonia. Overall, the asymptomatic carriers identified from close contacts were prone to be mildly ill during hospitalization. However, the communicable period could be up to three weeks and the communicated patients could develop severe illness. These results highlighted the importance of close contact tracing and longitudinally surveillance via virus nucleic acid tests. Further isolation recommendation and continuous nucleic acid tests may also be recommended to the patients discharged.",29, observational, 24, N/A, convenience sampling
Laboratory Findings Comorbidities and Clinical Outcomes Comparing Medical Staff versus the General Population,good,10.1136/bmj.m1091,Clinical characteristics of 113 deceased patients with coronavirus disease 2019: retrospective study.,"OBJECTIVE: To delineate the clinical characteristics of patients with coronavirus disease 2019 (covid-19) who died. DESIGN: Retrospective case series. SETTING: Tongji Hospital in Wuhan, China. PARTICIPANTS: Among a cohort of 799 patients, 113 who died and 161 who recovered with a diagnosis of covid-19 were analysed. Data were collected until 28 February 2020. MAIN OUTCOME MEASURES: Clinical characteristics and laboratory findings were obtained from electronic medical records with data collection forms. RESULTS: The median age of deceased patients (68 years) was significantly older than recovered patients (51 years). Male sex was more predominant in deceased patients (83; 73%) than in recovered patients (88; 55%). Chronic hypertension and other cardiovascular comorbidities were more frequent among deceased patients (54 (48%) and 16 (14%)) than recovered patients (39 (24%) and 7 (4%)). Dyspnoea, chest tightness, and disorder of consciousness were more common in deceased patients (70 (62%), 55 (49%), and 25 (22%)) than in recovered patients (50 (31%), 48 (30%), and 1 (1%)). The median time from disease onset to death in deceased patients was 16 (interquartile range 12.0-20.0) days. Leukocytosis was present in 56 (50%) patients who died and 6 (4%) who recovered, and lymphopenia was present in 103 (91%) and 76 (47%) respectively. Concentrations of alanine aminotransferase, aspartate aminotransferase, creatinine, creatine kinase, lactate dehydrogenase, cardiac troponin I, N-terminal pro-brain natriuretic peptide, and D-dimer were markedly higher in deceased patients than in recovered patients. Common complications observed more frequently in deceased patients included acute respiratory distress syndrome (113; 100%), type I respiratory failure (18/35; 51%), sepsis (113; 100%), acute cardiac injury (72/94; 77%), heart failure (41/83; 49%), alkalosis (14/35; 40%), hyperkalaemia (42; 37%), acute kidney injury (28; 25%), and hypoxic encephalopathy (23; 20%). Patients with cardiovascular comorbidity were more likely to develop cardiac complications. Regardless of history of cardiovascular disease, acute cardiac injury and heart failure were more common in deceased patients. CONCLUSION: Severe acute respiratory syndrome coronavirus 2 infection can cause both pulmonary and systemic inflammation, leading to multi-organ dysfunction in patients at high risk. Acute respiratory distress syndrome and respiratory failure, sepsis, acute cardiac injury, and heart failure were the most common critical complications during exacerbation of covid-19.",22, retrospective case series, 799, 161, convenience sampling
Laboratory Findings Comorbidities and Clinical Outcomes Comparing Medical Staff versus the General Population,good,10.1148/radiol.2020200370,Time Course of Lung Changes at Chest CT during Recovery from Coronavirus Disease 2019 (COVID-19).,"Background Chest CT is used to assess the severity of lung involvement in coronavirus disease 2019 (COVID-19). Purpose To determine the changes in chest CT findings associated with COVID-19 from initial diagnosis until patient recovery. Materials and Methods This retrospective review included patients with real-time polymerase chain reaction-confirmed COVID-19 who presented between January 12, 2020, and February 6, 2020. Patients with severe respiratory distress and/or oxygen requirement at any time during the disease course were excluded. Repeat chest CT was performed at approximately 4-day intervals. Each of the five lung lobes was visually scored on a scale of 0 to 5, with 0 indicating no involvement and 5 indicating more than 75% involvement. The total CT score was determined as the sum of lung involvement, ranging from 0 (no involvement) to 25 (maximum involvement). Results Twenty-one patients (six men and 15 women aged 25-63 years) with confirmed COVID-19 were evaluated. A total of 82 chest CT scans were obtained in these patients, with a mean interval (±standard deviation) of 4 days ± 1 (range, 1-8 days). All patients were discharged after a mean hospitalization period of 17 days ± 4 (range, 11-26 days). Maximum lung involved peaked at approximately 10 days (with a calculated total CT score of 6) from the onset of initial symptoms (",17, retrospective review, 21, N/A, convenience sampling
Laboratory Findings Comorbidities and Clinical Outcomes Comparing Medical Staff versus the General Population,good,10.1002/jmv.25793,"Clinical characteristics of 54 medical staff with COVID-19: A retrospective study in a single center in Wuhan, China.","In December 2019, an outbreak of the severe acute respiratory syndrome coronavirus 2 (SARS-Cov-2) infection occurred in Wuhan, and rapidly spread to worldwide, which has attracted many people's concerns about the patients. However, studies on the infection status of medical personnel is still lacking. A total of 54 cases of SARS-Cov-2 infected medical staff from Tongji Hospital between 7 January and 11 February 2020 were analyzed in this retrospective study. Clinical and epidemiological characteristics were compared between different groups by statistical method. From 7 January to 11 February 2020, 54 medical staff of Tongji Hospital were hospitalized due to coronavirus disease 2019 (COVID-19). Most of them were from other clinical departments (72.2%) rather than emergency department (3.7%) or medical technology departments (18.5%). Among the 54 patients with COVID-19, the distribution of age had a significant difference between non-severe type and severe/critical cases (median age: 47 years vs 38 years; P = .0015). However, there was no statistical difference in terms of gender distribution and the first symptoms between theses two groups. Furthermore, we observed that the lesion regions in SARS-Cov-2 infected lungs with severe-/critical-type of medical staff were more likely to exhibit lesions in the right upper lobe (31.7% vs 0%; P = .028) and right lung (61% vs 18.2%; P = .012). Based on our findings with medical staff infection data, we suggest training for all hospital staff to prevent infection and preparation of sufficient protection and disinfection materials.",11, retrospective study, 54, N/A, convenience sampling
Laboratory Findings Comorbidities and Clinical Outcomes Comparing Medical Staff versus the General Population,good,10.1101/2020.03.09.20033118,Review of Publicly Available State Reimbursement Policies for Removal and Reinsertion of Long-Acting Reversible Contraception.,"PURPOSE: We examined reimbursement policies for the removal and reinsertion of long-acting reversible contraception (LARC). PATIENTS AND METHODS: We conducted a standardized, web-based review of publicly available state policies for language on reimbursement of LARC removal and reinsertion. We also summarized policy language on barriers to reimbursement for LARC removal and reinsertion. RESULTS: Twenty-six (52%) of the 50 states had publicly available policies that addressed reimbursement for LARC removal. Of these 26 states, 14 (28%) included language on reimbursement for LARC reinsertion. Eleven (42%) of 26 states included language on additional requirements for reimbursement for removal and/or reinsertion: five state policies included language with other requirements for removal only, three policies included language with additional requirements for reinsertion only, and three included language with additional requirements for both. Three state policies specified no restrictions be placed on reimbursement for removal and one specified no restrictions be placed on reimbursement for reinsertion. CONCLUSION: Half of the states in the US do not have publicly available policies on reimbursement for the removal and reinsertion of LARC devices. Inclusion of unrestricted access to these services is important for contraceptive choice and reproductive autonomy. This review was done to understand how state policies reimburse providers who remove and then may reinsert a woman’s long-acting, reversible contraception (LARC) device. In this policy review, we found that more than half of all states reimburse providers for removing a LARC device. Of those states, half reimburse providers for reinserting a LARC device if a woman chooses it. Some states also identify reasons why state policies may or may not reimburse for LARC device removal or reinsertion. If women do not have the option to remove a LARC, they may not choose it, and this affects how they decide on the options to prevent a pregnancy.",34, retrospective, 101, N/A, convenience sampling
Sex-Specific COVID-19 Clinical Outcomes,good,10.1016/j.accpm.2020.04.001,SARS-CoV-2 in Spanish Intensive Care Units: Early experience with 15-day survival in Vitoria.,"PURPOSE: Community transmission of SARS-CoV-2 was detected in Spain in February 2020, with 216% intensive care unit (ICU) capacity expanded in Vitoria by March 18 METHODS: We identified patients from the two public hospitals in Vitoria who were admitted to ICU with confirmed infection by SARS-CoV-2. Data reported here were available in April 6th, 2020. Mortality was assessed in those who completed 15-days of ICU stay. RESULTS: We identified 48 patients (27 males) with confirmed SARS-CoV-2. Median [interquartile range (IQR)] age of patients was 63 [51-75] years. Symptoms began a median of 7 [5-12] days before ICU admission. The most common comorbidities identified were obesity (48%), arterial hypertension (44%) and chronic lung disease (37%). All patients were admitted by hypoxemic respiratory failure and none received non-invasive mechanical ventilation. Forty-five (94%) underwent intubation, 3 (6%) high flow nasal therapy (HFNT), 1 (2%) extracorporeal membrane oxygenation (ECMO) and 22 (46%) required prone position. After 15 days, 14/45 (31%) intubated patients died (13% within one week), 10/45 (22%) were extubated, and 21/45 (47%) underwent mechanical ventilation. Six patients had documented super-infection. Procalcitonin plasma above 0.5μg/L was associated with 16% vs. 19% (p=0.78) risk of death after 7 days. CONCLUSION: This early experience with SARS-CoV-2 in Spain suggests that a strategy of right oxygenation avoiding non-invasive mechanical ventilation was life-saving. Seven-day mortality in SARS-CoV-2 requiring intubation was lower than 15%, with 80% of patients still requiring mechanical ventilation. After 15 days of ICU admission, half of patients remained intubated, whereas one third died.",15, observational, 48, N/A, convenience sampling
Sex-Specific COVID-19 Clinical Outcomes,good,10.1056/NEJMoa2004500,Covid-19 in Critically Ill Patients in the Seattle Region - Case Series.,"BACKGROUND: Community transmission of coronavirus 2019 (Covid-19) was detected in the state of Washington in February 2020. METHODS: We identified patients from nine Seattle-area hospitals who were admitted to the intensive care unit (ICU) with confirmed infection with severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). Clinical data were obtained through review of medical records. The data reported here are those available through March 23, 2020. Each patient had at least 14 days of follow-up. RESULTS: We identified 24 patients with confirmed Covid-19. The mean (±SD) age of the patients was 64±18 years, 63% were men, and symptoms began 7±4 days before admission. The most common symptoms were cough and shortness of breath; 50% of patients had fever on admission, and 58% had diabetes mellitus. All the patients were admitted for hypoxemic respiratory failure; 75% (18 patients) needed mechanical ventilation. Most of the patients (17) also had hypotension and needed vasopressors. No patient tested positive for influenza A, influenza B, or other respiratory viruses. Half the patients (12) died between ICU day 1 and day 18, including 4 patients who had a do-not-resuscitate order on admission. Of the 12 surviving patients, 5 were discharged home, 4 were discharged from the ICU but remained in the hospital, and 3 continued to receive mechanical ventilation in the ICU. CONCLUSIONS: During the first 3 weeks of the Covid-19 outbreak in the Seattle area, the most common reasons for admission to the ICU were hypoxemic respiratory failure leading to mechanical ventilation, hypotension requiring vasopressor treatment, or both. Mortality among these critically ill patients was high. (Funded by the National Institutes of Health.).",23, observational, 24, N/A, convenience sampling
Sex-Specific COVID-19 Clinical Outcomes,good,10.1016/j.jinf.2020.03.004,"Clinical progression of patients with COVID-19 in Shanghai, China.","BACKGROUND: Studies on the 2019 novel coronavirus disease (COVID-19) have generally been limited to the description of the epidemiology and initial clinical characteristics. We investigated the temporal progression in patients with COVID-19. METHODS: In this retrospective, single-center study, we included confirmed cases of COVID-19 from Jan 20 to Feb 6, 2020 in Shanghai. Final date of follow-up was February 25, 2020. RESULTS: Of the 249 patients enrolled, the median age was 51 years old, and 126 (50.6%) were male. The duration from onset of symptoms to hospitalization was 4(2-7) days in symptomatic patients. Fever was occurred in 235(94.3%) patients. A total of 215 (86.3%) patients had been discharged after 16(12-20) days hospitalization. The estimated median duration of fever in all the patients with fever was 10 days (95 confidential intervals [CIs]: 8-11 days) after onset of symptoms. Patients who were transferred to intensive care units (ICU) had significantly longer duration of fever as compared to those not in ICU (31 days v.s. 9 days after onset of symptoms, respectively, P <0.0001). Radiological aggravation of initial image was observed in 163 (65.7%) patients on day 7 after onset of symptoms. 154(94.5%) of these patients showed radiological improvement on day 14. The median duration to negative reverse-transcriptase PCR tests of upper respiratory tract samples was 11 days (95 CIs: 10-12 days). Viral clearance was more likely to be delayed in patients in ICU than those not in ICU (P <0.0001). In multivariate logistical analysis, age (Odds ratio [OR] = 1.06) and CD4 T cell count (OR = 0.55 per 100 cells/ul increase) were independently associated with ICU admission. CONCLUSIONS: The majority of COVID-19 cases are mild. The clinical progression pattern suggests that early control of viral replication and application of host-directed therapy in later stage is essential to improve the prognosis of CVOID-19.",27, observational, 249, n/a, convenience sampling
Sex-Specific COVID-19 Clinical Outcomes,good,10.1136/bmj.m1091,Clinical characteristics of 113 deceased patients with coronavirus disease 2019: retrospective study.,"OBJECTIVE: To delineate the clinical characteristics of patients with coronavirus disease 2019 (covid-19) who died. DESIGN: Retrospective case series. SETTING: Tongji Hospital in Wuhan, China. PARTICIPANTS: Among a cohort of 799 patients, 113 who died and 161 who recovered with a diagnosis of covid-19 were analysed. Data were collected until 28 February 2020. MAIN OUTCOME MEASURES: Clinical characteristics and laboratory findings were obtained from electronic medical records with data collection forms. RESULTS: The median age of deceased patients (68 years) was significantly older than recovered patients (51 years). Male sex was more predominant in deceased patients (83; 73%) than in recovered patients (88; 55%). Chronic hypertension and other cardiovascular comorbidities were more frequent among deceased patients (54 (48%) and 16 (14%)) than recovered patients (39 (24%) and 7 (4%)). Dyspnoea, chest tightness, and disorder of consciousness were more common in deceased patients (70 (62%), 55 (49%), and 25 (22%)) than in recovered patients (50 (31%), 48 (30%), and 1 (1%)). The median time from disease onset to death in deceased patients was 16 (interquartile range 12.0-20.0) days. Leukocytosis was present in 56 (50%) patients who died and 6 (4%) who recovered, and lymphopenia was present in 103 (91%) and 76 (47%) respectively. Concentrations of alanine aminotransferase, aspartate aminotransferase, creatinine, creatine kinase, lactate dehydrogenase, cardiac troponin I, N-terminal pro-brain natriuretic peptide, and D-dimer were markedly higher in deceased patients than in recovered patients. Common complications observed more frequently in deceased patients included acute respiratory distress syndrome (113; 100%), type I respiratory failure (18/35; 51%), sepsis (113; 100%), acute cardiac injury (72/94; 77%), heart failure (41/83; 49%), alkalosis (14/35; 40%), hyperkalaemia (42; 37%), acute kidney injury (28; 25%), and hypoxic encephalopathy (23; 20%). Patients with cardiovascular comorbidity were more likely to develop cardiac complications. Regardless of history of cardiovascular disease, acute cardiac injury and heart failure were more common in deceased patients. CONCLUSION: Severe acute respiratory syndrome coronavirus 2 infection can cause both pulmonary and systemic inflammation, leading to multi-organ dysfunction in patients at high risk. Acute respiratory distress syndrome and respiratory failure, sepsis, acute cardiac injury, and heart failure were the most common critical complications during exacerbation of covid-19.",22, retrospective case series, 799, 161, convenience sampling
Sex-Specific COVID-19 Clinical Outcomes,good,10.1002/jmv.25793,"Clinical characteristics of 54 medical staff with COVID-19: A retrospective study in a single center in Wuhan, China.","In December 2019, an outbreak of the severe acute respiratory syndrome coronavirus 2 (SARS-Cov-2) infection occurred in Wuhan, and rapidly spread to worldwide, which has attracted many people's concerns about the patients. However, studies on the infection status of medical personnel is still lacking. A total of 54 cases of SARS-Cov-2 infected medical staff from Tongji Hospital between 7 January and 11 February 2020 were analyzed in this retrospective study. Clinical and epidemiological characteristics were compared between different groups by statistical method. From 7 January to 11 February 2020, 54 medical staff of Tongji Hospital were hospitalized due to coronavirus disease 2019 (COVID-19). Most of them were from other clinical departments (72.2%) rather than emergency department (3.7%) or medical technology departments (18.5%). Among the 54 patients with COVID-19, the distribution of age had a significant difference between non-severe type and severe/critical cases (median age: 47 years vs 38 years; P = .0015). However, there was no statistical difference in terms of gender distribution and the first symptoms between theses two groups. Furthermore, we observed that the lesion regions in SARS-Cov-2 infected lungs with severe-/critical-type of medical staff were more likely to exhibit lesions in the right upper lobe (31.7% vs 0%; P = .028) and right lung (61% vs 18.2%; P = .012). Based on our findings with medical staff infection data, we suggest training for all hospital staff to prevent infection and preparation of sufficient protection and disinfection materials.",11, retrospective study, 54, NA, convenience sampling
Sex-Specific COVID-19 Clinical Outcomes,good,10.1056/NEJMoa2002032,Clinical Characteristics of Coronavirus Disease 2019 in China.,"BACKGROUND: Since December 2019, when coronavirus disease 2019 (Covid-19) emerged in Wuhan city and rapidly spread throughout China, data have been needed on the clinical characteristics of the affected patients. METHODS: We extracted data regarding 1099 patients with laboratory-confirmed Covid-19 from 552 hospitals in 30 provinces, autonomous regions, and municipalities in mainland China through January 29, 2020. The primary composite end point was admission to an intensive care unit (ICU), the use of mechanical ventilation, or death. RESULTS: The median age of the patients was 47 years; 41.9% of the patients were female. The primary composite end point occurred in 67 patients (6.1%), including 5.0% who were admitted to the ICU, 2.3% who underwent invasive mechanical ventilation, and 1.4% who died. Only 1.9% of the patients had a history of direct contact with wildlife. Among nonresidents of Wuhan, 72.3% had contact with residents of Wuhan, including 31.3% who had visited the city. The most common symptoms were fever (43.8% on admission and 88.7% during hospitalization) and cough (67.8%). Diarrhea was uncommon (3.8%). The median incubation period was 4 days (interquartile range, 2 to 7). On admission, ground-glass opacity was the most common radiologic finding on chest computed tomography (CT) (56.4%). No radiographic or CT abnormality was found in 157 of 877 patients (17.9%) with nonsevere disease and in 5 of 173 patients (2.9%) with severe disease. Lymphocytopenia was present in 83.2% of the patients on admission. CONCLUSIONS: During the first 2 months of the current outbreak, Covid-19 spread rapidly throughout China and caused varying degrees of illness. Patients often presented without fever, and many did not have abnormal radiologic findings. (Funded by the National Health Commission of China and others.).",24, observational, 1099, N/A, convenience sampling
Sex-Specific COVID-19 Clinical Outcomes,good,10.1002/oby.22831,High Prevalence of Obesity in Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2) Requiring Invasive Mechanical Ventilation.,"OBJECTIVE: The COVID-19 pandemic is rapidly spreading worldwide, notably in Europe and North America where obesity is highly prevalent. The relation between obesity and severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) has not been fully documented. METHODS: This retrospective cohort study analyzed the relationship between clinical characteristics, including BMI, and the requirement for invasive mechanical ventilation (IMV) in 124 consecutive patients admitted in intensive care for SARS-CoV-2 in a single French center. RESULTS: Obesity (BMI > 30) and severe obesity (BMI > 35) were present in 47.6% and 28.2% of cases, respectively. Overall, 85 patients (68.6%) required IMV. The proportion of patients who required IMV increased with BMI categories (P < 0.01, χ CONCLUSIONS: The present study showed a high frequency of obesity among patients admitted in intensive care for SARS-CoV-2. Disease severity increased with BMI. Obesity is a risk factor for SARS-CoV-2 severity, requiring increased attention to preventive measures in susceptible individuals.",19, cohort, 124, 306, convenience sampling
Sex-Specific COVID-19 Clinical Outcomes,good,10.1002/jmv.25783,Clinical features and treatment of COVID-19 patients in northeast Chongqing.,"The outbreak of the novel coronavirus in China (SARS-CoV-2) that began in December 2019 presents a significant and urgent threat to global health. This study was conducted to provide the international community with a deeper understanding of this new infectious disease. Epidemiological, clinical features, laboratory findings, radiological characteristics, treatment, and clinical outcomes of 135 patients in northeast Chongqing were collected and analyzed in this study. A total of 135 hospitalized patients with COVID-19 were enrolled. The median age was 47 years (interquartile range, 36-55), and there was no significant gender difference (53.3% men). The majority of patients had contact with people from the Wuhan area. Forty-three (31.9%) patients had underlying disease, primarily hypertension (13 [9.6%]), diabetes (12 [8.9%]), cardiovascular disease (7 [5.2%]), and malignancy (4 [3.0%]). Common symptoms included fever (120 [88.9%]), cough (102 [76.5%]), and fatigue (44 [32.5%]). Chest computed tomography scans showed bilateral patchy shadows or ground glass opacity in the lungs of all the patients. All patients received antiviral therapy (135 [100%]) (Kaletra and interferon were both used), antibacterial therapy (59 [43.7%]), and corticosteroids (36 [26.7%]). In addition, many patients received traditional Chinese medicine (TCM) (124 [91.8%]). It is suggested that patients should receive Kaletra early and should be treated by a combination of Western and Chinese medicines. Compared to the mild cases, the severe ones had lower lymphocyte counts and higher plasma levels of Pt, APTT, d-dimer, lactate dehydrogenase, PCT, ALB, C-reactive protein, and aspartate aminotransferase. This study demonstrates the clinic features and therapies of 135 COVID-19 patients. Kaletra and TCM played an important role in the treatment of the viral pneumonia. Further studies are required to explore the role of Kaletra and TCM in the treatment of COVID-19.",24, observational, 135, N/A, convenience sampling
Sex-Specific COVID-19 Clinical Outcomes,good,10.1001/jama.2020.1585,"Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China.","IMPORTANCE: In December 2019, novel coronavirus (2019-nCoV)-infected pneumonia (NCIP) occurred in Wuhan, China. The number of cases has increased rapidly but information on the clinical characteristics of affected patients is limited. OBJECTIVE: To describe the epidemiological and clinical characteristics of NCIP. DESIGN, SETTING, AND PARTICIPANTS: Retrospective, single-center case series of the 138 consecutive hospitalized patients with confirmed NCIP at Zhongnan Hospital of Wuhan University in Wuhan, China, from January 1 to January 28, 2020; final date of follow-up was February 3, 2020. EXPOSURES: Documented NCIP. MAIN OUTCOMES AND MEASURES: Epidemiological, demographic, clinical, laboratory, radiological, and treatment data were collected and analyzed. Outcomes of critically ill patients and noncritically ill patients were compared. Presumed hospital-related transmission was suspected if a cluster of health professionals or hospitalized patients in the same wards became infected and a possible source of infection could be tracked. RESULTS: Of 138 hospitalized patients with NCIP, the median age was 56 years (interquartile range, 42-68; range, 22-92 years) and 75 (54.3%) were men. Hospital-associated transmission was suspected as the presumed mechanism of infection for affected health professionals (40 [29%]) and hospitalized patients (17 [12.3%]). Common symptoms included fever (136 [98.6%]), fatigue (96 [69.6%]), and dry cough (82 [59.4%]). Lymphopenia (lymphocyte count, 0.8 × 109/L [interquartile range {IQR}, 0.6-1.1]) occurred in 97 patients (70.3%), prolonged prothrombin time (13.0 seconds [IQR, 12.3-13.7]) in 80 patients (58%), and elevated lactate dehydrogenase (261 U/L [IQR, 182-403]) in 55 patients (39.9%). Chest computed tomographic scans showed bilateral patchy shadows or ground glass opacity in the lungs of all patients. Most patients received antiviral therapy (oseltamivir, 124 [89.9%]), and many received antibacterial therapy (moxifloxacin, 89 [64.4%]; ceftriaxone, 34 [24.6%]; azithromycin, 25 [18.1%]) and glucocorticoid therapy (62 [44.9%]). Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%]). The median time from first symptom to dyspnea was 5.0 days, to hospital admission was 7.0 days, and to ARDS was 8.0 days. Patients treated in the ICU (n = 36), compared with patients not treated in the ICU (n = 102), were older (median age, 66 years vs 51 years), were more likely to have underlying comorbidities (26 [72.2%] vs 38 [37.3%]), and were more likely to have dyspnea (23 [63.9%] vs 20 [19.6%]), and anorexia (24 [66.7%] vs 31 [30.4%]). Of the 36 cases in the ICU, 4 (11.1%) received high-flow oxygen therapy, 15 (41.7%) received noninvasive ventilation, and 17 (47.2%) received invasive ventilation (4 were switched to extracorporeal membrane oxygenation). As of February 3, 47 patients (34.1%) were discharged and 6 died (overall mortality, 4.3%), but the remaining patients are still hospitalized. Among those discharged alive (n = 47), the median hospital stay was 10 days (IQR, 7.0-14.0). CONCLUSIONS AND RELEVANCE: In this single-center case series of 138 hospitalized patients with confirmed NCIP in Wuhan, China, presumed hospital-related transmission of 2019-nCoV was suspected in 41% of patients, 26% of patients received ICU care, and mortality was 4.3%.",40, Editorial, N/A, N/A, N/A
